Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7pv80uUHfocFqfTytu1MVi,"Didn't Cha Know","Mama's Gun","Erykah Badu",2000-10-31,238733,71,false,xxx,2025-07-15T22:05:44Z,"neo soul,r&b","Motown (Kedar)",0.753,0.472,3,-9.761,0,0.121,0.484,0.0127,0.284,0.816,135.276,4
spotify:track:7wgZCec9TpT6OPH8gKK0fG,"ROCKET","ROCKET","Doechii",2024-06-28,166315,54,false,xxx,2025-07-17T03:38:58Z,"","Top Dawg Entertainment/Capitol Records",0.622,0.78,1,-6.441,1,0.341,0.0702,0.00233,0.331,0.755,113.184,4
spotify:track:5TFD2bmFKGhoCRbX61nXY5,"NUEVAYoL","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,183685,89,false,xxx,2025-11-04T09:04:45Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC.",0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
spotify:track:7p4vHnYXkxlzvfePJVpcTr,"Feels Like Summer","Summer Pack","Childish Gambino",2018-07-11,297404,73,false,xxx,2025-07-15T22:18:42Z,"","Wolf+Rothstein/RCA Records",0.55,0.596,7,-8.214,1,0.134,0.162,0.00481,0.0805,0.253,165.736,4
spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,"BREAK MY SOUL","RENAISSANCE","Beyoncé",2022-07-29,278281,66,false,xxx,2025-07-15T22:30:28Z,"","Parkwood Entertainment/Columbia",0.693,0.887,1,-5.039,0,0.0795,0.0581,0.00000271,0.27,0.864,114.942,4
spotify:track:7eEr7lgWYudwEKEaWCPiPI,"BLACKBIIRD","COWBOY CARTER","Beyoncé;Tanner Adell;Brittney Spencer;Tiera Kennedy;Reyna Roberts",2024-03-29,131949,60,false,xxx,2025-07-15T22:49:07Z,"","Parkwood Entertainment/Columbia",0.476,0.192,7,-12.553,1,0.0269,0.716,0,0.11,0.201,93.709,4
spotify:track:2RQAG0wQt35UzAPEyVJFWN,"Love Drought","Lemonade","Beyoncé",2016-04-23,237440,66,false,xxx,2025-07-15T22:54:26Z,"","Parkwood Entertainment/Columbia",0.455,0.535,9,-10.602,0,0.0426,0.0209,0.64,0.126,0.216,157.01,4
spotify:track:3xKsf9qdS1CyvXSMEid6g8,"Pink + White","Blonde","Frank Ocean",2016-08-20,184516,86,false,xxx,2025-07-17T03:42:43Z,"","Boys Don't Cry",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther The Album Music From And Inspired By","Kendrick Lamar;SZA",2018-02-09,232186,89,true,xxx,2025-11-04T08:43:38Z,"hip hop,west coast hip hop,r&b","Black Panther (TDE/DMG) PS",0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
spotify:track:2YXGbxICUdOUJe9OPlicy1,"Pink","Barbie The Album","Lizzo",2023-07-21,143833,54,false,xxx,2025-07-15T23:32:11Z,"","Atlantic Records",0.861,0.611,1,-7.891,1,0.0427,0.0764,0,0.0763,0.803,114.995,4
spotify:track:5LIwaG8Wl9LfExcmiRQm7J,"Send It On","Voodoo","D'Angelo",2000-01-01,356493,67,false,xxx,2025-11-04T08:55:15Z,"neo soul","Virgin Records",0.788,0.258,5,-11.758,1,0.104,0.171,0.00721,0.326,0.335,127.492,3
spotify:track:1uNSDmdnCmOgMvAyfCnh2Q,"I AM - From the Ava DuVernay feature film 'Origin'","I AM (From the Ava DuVernay feature film 'Origin')","Stan Walker",2023-11-27,269682,48,false,xxx,2025-07-15T23:18:00Z,"nz reggae","Sony Music Entertainment",0.406,0.543,2,-7.15,0,0.035,0.0116,0,0.542,0.128,124.015,4
spotify:track:1HmzAZUvhQLhLo2z3ocpZI,"Radio Ga Ga - Remastered 2011","The Works (Deluxe Remastered Version)","Queen",1984-02-27,348226,64,false,xxx,2025-07-15T23:26:26Z,"classic rock,rock,glam rock","Hollywood Records",0.744,0.502,5,-7.705,1,0.0359,0.179,0.000172,0.19,0.655,112.345,4
spotify:track:6IXANTg9CWP73yEXqTHkBx,"Basketball","The Best Of Kurtis Blow","Kurtis Blow",1994-01-01,386040,38,false,xxx,2025-07-15T22:40:30Z,"old school hip hop,east coast hip hop","Island Mercury",0.875,0.508,7,-12.308,1,0.0832,0.0209,0.00261,0.227,0.82,104.361,4
spotify:track:0bLOiofyBB62YU2cNnONJG,"Someone Saved My Life Tonight","Captain Fantastic And The Brown Dirt Cowboy","Elton John",1975-05-19,404933,56,false,xxx,2025-07-15T23:29:27Z,"","EMI",0.457,0.428,1,-9.796,1,0.0283,0.329,0.00000221,0.169,0.151,129.98,4
spotify:track:6yjKlmm7vOszkXEUku1EM1,"New York State of Mind","Turnstiles","Billy Joel",1976-05-19,362400,65,false,xxx,2025-07-15T23:25:13Z,"soft rock","Columbia",0.506,0.373,0,-9.473,1,0.0347,0.499,0.0000405,0.323,0.194,121.289,4
spotify:track:4e9hUiLsN4mx61ARosFi7p,"The Spirit Of Radio","Permanent Waves","Rush",1980-01-01,296466,64,false,xxx,2025-07-15T22:16:14Z,"progressive rock,classic rock,hard rock,rock,aor","Island Mercury",0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,4
spotify:track:5pANOgOr3fv1DxyxULU7Mh,"Free","This Is Niecy (Expanded Edition)","Deniece Williams",1976-08-13,358186,40,false,xxx,2025-07-15T22:00:10Z,"","Columbia",0.488,0.363,6,-11.679,1,0.0347,0.79,0.181,0.148,0.474,87.653,4
spotify:track:00kvKlIvfzQLSi6T2zwXuS,"Strawberry Letter 23","Right On Time","The Brothers Johnson",1977-01-01,299066,61,false,xxx,2025-07-15T21:57:34Z,"funk,disco","A&M",0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,4
spotify:track:0AECVMjxepWdsjDb49JFRd,"Tell Me Something Good","The Very Best Of Rufus Featuring Chaka Khan","Rufus;Chaka Khan",1982-01-01,280040,47,false,xxx,2025-11-04T09:06:25Z,"quiet storm","Geffen*",0.723,0.404,1,-9.184,1,0.23,0.653,0,0.116,0.796,73.983,4
